dataset,vega-lite,command,query,question
activity_1_Faculty,"{'$schema': 'https://vega.github.io/schema/vega-lite/v5.json', 'description': 'A heatmap of faculty members by rank and gender.', 'data': {'url': 'spider_csv/activity_1_Faculty.csv'}, 'mark': {'type': 'rect', 'tooltip': True}, 'encoding': {'x': {'field': 'Rank', 'type': 'ordinal', 'scale': {'type': 'band'}}, 'y': {'field': 'Sex', 'type': 'ordinal', 'scale': {'type': 'band'}}, 'color': {'aggregate': 'count', 'field': 'FacID', 'type': 'quantitative', 'scale': {'scheme': 'greenblue'}}}}","[""Create a heatmap with 'Position' on the x-axis and 'Gender' on the y-axis, and color the rectangles based on the 'Faculty ID' count.""]","['Heatmap of Position by Gender, colored by Faculty ID count.']",['How does the count of Faculty IDs vary across different Positions and Genders?']
allergy_1_Student,"{'$schema': 'https://vega.github.io/schema/vega-lite/v5.json', 'description': 'A heatmap of student distribution by age and major.', 'data': {'url': 'spider_csv/allergy_1_Student.csv.csv'}, 'mark': {'type': 'rect', 'tooltip': True}, 'encoding': {'x': {'field': 'Age', 'type': 'quantitative', 'bin': True}, 'y': {'field': 'Major', 'type': 'ordinal', 'bin': True}, 'color': {'aggregate': 'count', 'type': 'quantitative'}}}","[""Create a heatmap with the 'Age' field on the x-axis, binned as a quantitative variable.""]","['Heatmap of Age, binned']",['How does the Age distribution look when visualized in a binned heatmap?']
apartment_rentals_Apartments,"{'$schema': 'https://vega.github.io/schema/vega-lite/v5.json', 'description': 'A heatmap showing the count of apartments based on the number of bedrooms and bathrooms.', 'data': {'url': 'spider_csv/apartment_rentals_Apartments.csv.csv'}, 'mark': {'type': 'rect', 'tooltip': True}, 'encoding': {'x': {'field': 'bedroom_count', 'type': 'ordinal', 'axis': {'title': 'Number of Bedrooms'}}, 'y': {'field': 'bathroom_count', 'type': 'ordinal', 'axis': {'title': 'Number of Bathrooms'}}, 'color': {'aggregate': 'count', 'type': 'quantitative', 'scale': {'scheme': 'greenblue'}, 'legend': {'title': 'Count of Apartments'}}}}","[""Create a heatmap with the 'Number of Bedrooms' on the x-axis and 'Number of Bathrooms' on the y-axis, shading rectangles based on the apartment count using a greenblue color scale.""]","['Heatmap of count(apartments) by Number of Bedrooms, Number of Bathrooms with greenblue scale']",['How does the count of apartments vary by the Number of Bedrooms and Number of Bathrooms?']
apartment_rentals_Apartment_Bookings,"{'$schema': 'https://vega.github.io/schema/vega-lite/v5.json', 'description': 'A heatmap showing the distribution of apartment bookings over time.', 'data': {'url': 'spider_csv/apartment_rentals_Apartment_Bookings.csv.csv'}, 'mark': {'type': 'rect', 'tooltip': True}, 'encoding': {'x': {'field': 'booking_start_date', 'type': 'temporal', 'timeUnit': 'month', 'axis': {'title': 'Booking Start Month'}}, 'y': {'field': 'apt_id', 'type': 'ordinal', 'bin': {'maxbins': 10}, 'axis': {'title': 'Apartment ID'}}, 'color': {'aggregate': 'count', 'type': 'quantitative', 'scale': {'scheme': 'greenblue'}, 'legend': {'title': 'Number of Bookings'}}}}",["Create a heatmap with 'Booking Start Month' on the x-axis from the 'booking_start_date' data."],['heatmap of booking_start_month from booking_start_date'],['What does the heatmap of booking start months from the booking_start_date look like?']
apartment_rentals_Guests,"{'$schema': 'https://vega.github.io/schema/vega-lite/v5.json', 'description': 'A heatmap showing the number of guests by gender and month of birth.', 'data': {'url': 'spider_csv/apartment_rentals_Guests.csv.csv'}, 'mark': {'type': 'rect', 'tooltip': True}, 'encoding': {'x': {'field': 'date_of_birth', 'type': 'temporal', 'timeUnit': 'yearmonth', 'axis': {'title': 'Month of Birth'}}, 'y': {'field': 'gender_code', 'type': 'nominal', 'axis': {'title': 'Gender'}}, 'color': {'field': 'count', 'type': 'quantitative', 'aggregate': 'count', 'scale': {'scheme': 'redblue'}, 'legend': {'title': 'Number of Guests'}}}, 'config': {'view': {'stroke': 'transparent'}, 'axis': {'domainWidth': 1, 'tickSize': 5, 'titleFontSize': 12, 'labelFontSize': 12}}}",["Create a heatmap with 'Month of Birth' on the x-axis."],['heatmap of MonthOfBirth'],["What does a heatmap of 'Month of Birth' look like?"]
behavior_monitoring_Student_Addresses,"{'$schema': 'https://vega.github.io/schema/vega-lite/v5.json', 'description': 'A heatmap showing the distribution of monthly rental costs over the duration of student stays at different addresses.', 'data': {'url': 'spider_csv/behavior_monitoring_Student_Addresses.csv.csv'}, 'mark': {'type': 'rect', 'tooltip': True}, 'encoding': {'x': {'field': 'date_address_from', 'type': 'temporal', 'timeUnit': 'month'}, 'y': {'field': 'date_address_to', 'type': 'temporal', 'timeUnit': 'month'}, 'color': {'field': 'monthly_rental', 'type': 'quantitative', 'bin': True}}}","[""Create a heatmap with 'Start Date of Address' on the x-axis, 'End Date of Address' on the y-axis, and color-code 'Monthly Rental Cost' after binning the data.""]","[""Heatmap of 'Start Date of Address' by month vs 'End Date of Address' by month, color representing binned 'Monthly Rental Cost'.""]",["How does the binned 'Monthly Rental Cost' vary over the 'Start Date' and 'End Date' months?"]
book_2_book,"{'$schema': 'https://vega.github.io/schema/vega-lite/v5.json', 'description': 'A heatmap of the number of books per number of issues and writer.', 'data': {'url': 'spider_csv/book_2_book.csv.csv'}, 'mark': {'type': 'rect', 'tooltip': True}, 'encoding': {'x': {'field': 'Issues', 'type': 'quantitative', 'bin': {'maxbins': 12}}, 'y': {'field': 'Writer', 'type': 'nominal'}, 'color': {'field': 'count', 'type': 'quantitative', 'aggregate': 'count'}}}","[""Create a heatmap with the 'number of issues' on the x-axis, divided into 12 bins.""]",['heatmap of number of issues with x-axis in 12 bins'],["How can the 'number of issues' be represented in a heatmap with 12 bins on the x-axis?"]
browser_web_web_client_accelerator,"{'$schema': 'https://vega.github.io/schema/vega-lite/v5.json', 'description': 'A heatmap showing the count of web client accelerators per operating system and connection type.', 'data': {'url': 'spider_csv/browser_web_web_client_accelerator.csv.csv'}, 'mark': {'type': 'rect', 'tooltip': True}, 'encoding': {'y': {'field': 'Operating_system', 'type': 'nominal'}, 'x': {'field': 'Connection', 'type': 'nominal'}, 'color': {'aggregate': 'count', 'field': 'id', 'type': 'quantitative', 'scale': {'scheme': 'redblue'}}}}","[""Create a heatmap with 'OS' on the y-axis, 'Connection Type' on the x-axis, and color-coded for the count of 'Identifier'.""]","['Heatmap of OS by Connection Type, color scale for Identifier count.']",['How does the count of Identifiers vary across different OS and Connection Types?']
climbing_mountain,"{'$schema': 'https://vega.github.io/schema/vega-lite/v5.json', 'description': 'A heatmap showing the distribution of mountain heights and prominences.', 'data': {'url': 'spider_csv/climbing_mountain.csv.csv'}, 'mark': {'type': 'rect', 'tooltip': True}, 'encoding': {'x': {'field': 'Height', 'type': 'quantitative', 'bin': {'maxbins': 50}, 'scale': {'zero': False}}, 'y': {'field': 'Prominence', 'type': 'quantitative', 'bin': {'maxbins': 50}, 'scale': {'zero': False}}, 'color': {'aggregate': 'count', 'type': 'quantitative', 'scale': {'scheme': 'greenblue'}}}}","[""Create a heatmap with 50 bins for 'Altitude' on the x-axis and 50 bins for 'Prominence' on the y-axis, using a greenblue color scheme to represent the count of aggregate data.""]","['Heatmap of count by Altitude (50 bins) vs Prominence (50 bins), with greenblue color scale.']","[""How does the count of aggregate data vary with 'Altitude' and 'Prominence', and how can this be visualized in a heatmap with a greenblue color scheme and 50 bins for each axis?""]"
college_1_department,"{'$schema': 'https://vega.github.io/schema/vega-lite/v5.json', 'description': 'A heatmap showing the number of employees in each department by school.', 'data': {'url': 'spider_csv/college_1_department.csv.csv'}, 'mark': {'type': 'rect', 'tooltip': True}, 'encoding': {'x': {'field': 'DEPT_CODE', 'type': 'nominal'}, 'y': {'field': 'SCHOOL_CODE', 'type': 'nominal'}, 'color': {'field': 'EMP_NUM', 'type': 'quantitative', 'aggregate': 'sum'}}}","['Create a heatmap with department codes on the x-axis, school codes on the y-axis, and color representing the summed total of employees.']","['Heatmap of department codes vs school codes, color encoded by sum of employees.']",['How do department codes correlate with the total number of employees across different school codes in a heatmap?']
college_1_professor,"{'$schema': 'https://vega.github.io/schema/vega-lite/v5.json', 'description': 'Heatmap of professors by department and highest degree earned.', 'data': {'url': 'spider_csv/college_1_professor.csv.csv'}, 'mark': {'type': 'rect', 'tooltip': True}, 'encoding': {'x': {'field': 'DEPT_CODE', 'type': 'nominal', 'sort': {'field': 'DEPT_CODE'}}, 'y': {'field': 'PROF_HIGH_DEGREE', 'type': 'ordinal', 'sort': {'field': 'PROF_HIGH_DEGREE'}}, 'color': {'field': 'count_EMP_NUM', 'type': 'quantitative', 'aggregate': 'count'}}, 'transform': [{'calculate': 'datum.EMP_NUM', 'as': 'count_EMP_NUM'}]}",['Create a sorted heatmap with department codes on the x-axis.'],"['heatmap of department codes, sorted']",['How do department codes appear on a sorted heatmap?']
college_2_classroom,"{'$schema': 'https://vega.github.io/schema/vega-lite/v5.json', 'description': 'A heatmap of college classroom capacity by room number.', 'data': {'url': 'spider_csv/college_2_classroom.csv.csv'}, 'mark': {'type': 'rect', 'tooltip': True}, 'encoding': {'x': {'field': 'room_number', 'type': 'ordinal', 'bin': {'maxbins': 27}}, 'y': {'field': 'capacity', 'type': 'ordinal', 'bin': {'maxbins': 25}}, 'color': {'aggregate': 'count', 'type': 'quantitative', 'scale': {'scheme': 'greenblue'}}}}","[""Create a heatmap with 27 bins for 'classroom_number' on the x-axis, 25 bins for 'seating_capacity' on the y-axis, and color each rectangle by record count.""]","[""Heatmap of 'classroom_number' (27 bins) vs 'seating_capacity' (25 bins), colored by count of records per bin.""]",["How does the count of records vary across 'classroom_number' and 'seating_capacity' bins?"]
